Time Step	At Home	Food C.	Health C.	Terminal C.
1             1764             0             736             0  
2             1515             0             985             0  
3             1444             0             1056             0  
4             1420             0             1080             0  
5             1414             0             1086             0  
6             1411             0             1089             0  
7             1411             0             1089             0  
8             1410             0             1090             0  
9             1410             0             1090             0  
10             1410             0             1090             0  
11             1410             0             1090             0  
12             1410             0             1090             0  
13             1410             0             1090             0  
14             1410             0             1090             0  
15             1410             0             1090             0  
16             1410             0             1090             0  
17             1410             0             1090             0  
18             1410             0             1090             0  
19             1410             0             1090             0  
20             1410             0             1090             0  
21             1410             0             1090             0  
22             1410             0             1090             0  
23             1410             0             1090             0  
24             1410             0             1090             0  
25             1410             0             1090             0  
26             1410             0             1090             0  
27             1410             0             1090             0  
28             1410             0             1090             0  
29             1410             0             1090             0  
30             1410             0             1090             0  
31             1410             0             1090             0  
32             1410             0             1090             0  
33             1410             0             1090             0  
34             1410             0             1090             0  
35             1410             0             1090             0  
36             1410             0             1090             0  
37             1410             0             1090             0  
38             1410             0             1090             0  
39             1410             0             1090             0  
40             1410             0             1090             0  
41             1410             0             1090             0  
42             1410             0             1090             0  
43             1410             0             1090             0  
44             1410             0             1090             0  
45             1410             0             1090             0  
46             1410             0             1090             0  
47             1410             0             1090             0  
48             1410             0             1090             0  
49             1410             0             1090             0  
50             1410             0             1090             0  
51             1410             0             1090             0  
52             1410             0             1090             0  
53             1410             0             1090             0  
54             1410             0             1090             0  
55             1410             0             1090             0  
56             1410             0             1090             0  
57             1410             0             1090             0  
58             1410             0             1090             0  
59             1410             0             1090             0  
60             1410             0             1090             0  
61             1410             0             1090             0  
62             1410             0             1090             0  
63             1410             0             1090             0  
64             1410             0             1090             0  
65             1410             0             1090             0  
66             1410             0             1090             0  
67             1410             0             1090             0  
68             1410             0             1090             0  
69             1410             0             1090             0  
70             1410             0             1090             0  
71             1410             0             1090             0  
72             1410             0             1090             0  
73             1410             0             1090             0  
74             1410             0             1090             0  
75             1410             0             1090             0  
76             1410             0             1090             0  
77             1410             0             1090             0  
78             1410             0             1090             0  
79             1410             0             1090             0  
80             1410             0             1090             0  
81             1410             0             1090             0  
82             1410             0             1090             0  
83             1410             0             1090             0  
84             1410             0             1090             0  
85             1410             0             1090             0  
86             1410             0             1090             0  
87             1410             0             1090             0  
88             1410             0             1090             0  
89             1410             0             1090             0  
90             1410             0             1090             0  
91             1410             0             1090             0  
92             1410             0             1090             0  
93             1410             0             1090             0  
94             1410             0             1090             0  
95             1410             0             1090             0  
96             1410             0             1090             0  
97             1410             0             1090             0  
98             1410             0             1090             0  
99             1410             0             1090             0  
100             1410             0             1090             0  
101             1410             0             1090             0  
102             1410             0             1090             0  
103             1410             0             1090             0  
104             1410             0             1090             0  
105             1410             0             1090             0  
106             1410             0             1090             0  
107             1410             0             1090             0  
108             1410             0             1090             0  
109             1410             0             1090             0  
110             1410             0             1090             0  
111             1410             0             1090             0  
112             1410             0             1090             0  
113             1410             0             1090             0  
114             1410             0             1090             0  
115             1410             0             1090             0  
116             1410             0             1090             0  
117             1410             0             1090             0  
118             1410             0             1090             0  
119             1410             0             1090             0  
120             1410             0             1090             0  
121             1410             0             1090             0  
122             1410             0             1090             0  
123             1410             0             1090             0  
124             1410             0             1090             0  
125             1410             0             1090             0  
126             1410             0             1090             0  
127             1410             0             1090             0  
128             1410             0             1090             0  
129             1410             0             1090             0  
130             1410             0             1090             0  
131             1410             0             1090             0  
132             1410             0             1090             0  
133             1410             0             1090             0  
134             1410             0             1090             0  
135             1410             0             1090             0  
136             1410             0             1090             0  
137             1410             0             1090             0  
138             1410             0             1090             0  
139             1410             0             1090             0  
140             1410             0             1090             0  
141             1410             0             1090             0  
142             1410             0             1090             0  
143             1410             0             1090             0  
144             1410             0             1090             0  
145             1410             0             1090             0  
146             1410             0             1090             0  
147             1410             0             1090             0  
148             1410             0             1090             0  
149             1410             0             1090             0  
150             1410             0             1090             0  
151             1410             0             1090             0  
152             1410             0             1090             0  
153             1410             0             1090             0  
154             1410             0             1090             0  
155             1410             0             1090             0  
156             1410             0             1090             0  
157             1410             0             1090             0  
158             1410             0             1090             0  
159             1410             0             1090             0  
160             1410             0             1090             0  
161             1410             0             1090             0  
162             1410             0             1090             0  
163             1410             0             1090             0  
164             1410             0             1090             0  
165             1410             0             1090             0  
166             1410             0             1090             0  
167             1410             0             1090             0  
168             1410             0             1090             0  
169             1410             0             1090             0  
170             1410             0             1090             0  
171             1410             0             1090             0  
172             1410             0             1090             0  
173             1410             0             1090             0  
174             1410             0             1090             0  
175             1410             0             1090             0  
176             1410             0             1090             0  
177             1410             0             1090             0  
178             1410             0             1090             0  
179             1410             0             1090             0  
180             1410             0             1090             0  
181             1410             0             1090             0  
182             1410             0             1090             0  
183             1410             0             1090             0  
184             1410             0             1090             0  
185             1410             0             1090             0  
186             1410             0             1090             0  
187             1410             0             1090             0  
188             1410             0             1090             0  
189             1410             0             1090             0  
190             1410             0             1090             0  
191             1410             0             1090             0  
192             1410             0             1090             0  
193             1410             0             1090             0  
194             1410             0             1090             0  
195             1410             0             1090             0  
196             1410             0             1090             0  
197             1410             0             1090             0  
198             1410             0             1090             0  
199             1410             0             1090             0  
200             1410             0             1090             0  
201             1410             0             1090             0  
202             1410             0             1090             0  
203             1410             0             1090             0  
204             1410             0             1090             0  
205             1410             0             1090             0  
206             1410             0             1090             0  
207             1410             0             1090             0  
208             1410             0             1090             0  
209             1410             0             1090             0  
210             1410             0             1090             0  
211             1410             0             1090             0  
212             1410             0             1090             0  
213             1410             0             1090             0  
214             1410             0             1090             0  
215             1410             0             1090             0  
216             1410             0             1090             0  
217             1410             0             1090             0  
218             1410             0             1090             0  
219             1410             0             1090             0  
220             1410             0             1090             0  
221             1410             0             1090             0  
222             1410             0             1090             0  
223             1410             0             1090             0  
224             1410             0             1090             0  
225             1410             0             1090             0  
226             1410             0             1090             0  
227             1410             0             1090             0  
228             1410             0             1090             0  
229             1410             0             1090             0  
230             1410             0             1090             0  
231             1410             0             1090             0  
232             1410             0             1090             0  
233             1410             0             1090             0  
234             1410             0             1090             0  
235             1410             0             1090             0  
236             1410             0             1090             0  
237             1410             0             1090             0  
238             1410             0             1090             0  
239             1410             0             1090             0  
240             1410             0             1090             0  
241             1410             0             1090             0  
242             1410             0             1090             0  
243             1410             0             1090             0  
244             1410             0             1090             0  
245             1410             0             1090             0  
246             1410             0             1090             0  
247             1410             0             1090             0  
248             1410             0             1090             0  
249             1410             0             1090             0  
250             1410             0             1090             0  
251             1410             0             1090             0  
252             1410             0             1090             0  
253             1410             0             1090             0  
254             1410             0             1090             0  
255             1410             0             1090             0  
256             1410             0             1090             0  
257             1410             0             1090             0  
258             1410             0             1090             0  
259             1410             0             1090             0  
260             1410             0             1090             0  
261             1410             0             1090             0  
262             1410             0             1090             0  
263             1410             0             1090             0  
264             1410             0             1090             0  
265             1410             0             1090             0  
266             1410             0             1090             0  
267             1410             0             1090             0  
268             1410             0             1090             0  
269             1410             0             1090             0  
270             1410             0             1090             0  
271             1410             0             1090             0  
272             1410             0             1090             0  
273             1410             0             1090             0  
274             1410             0             1090             0  
275             1410             0             1090             0  
276             1410             0             1090             0  
277             1410             0             1090             0  
278             1410             0             1090             0  
279             1410             0             1090             0  
280             1410             0             1090             0  
281             1410             0             1090             0  
282             1410             0             1090             0  
283             1410             0             1090             0  
284             1410             0             1090             0  
285             1410             0             1090             0  
286             1410             0             1090             0  
287             1410             0             1090             0  
288             1410             0             1090             0  
289             1410             0             1090             0  
290             1410             0             1090             0  
291             1410             0             1090             0  
292             1410             0             1090             0  
293             1410             0             1090             0  
294             1410             0             1090             0  
295             1410             0             1090             0  
296             1410             0             1090             0  
297             1410             0             1090             0  
298             1410             0             1090             0  
299             1410             0             1090             0  
300             1410             0             1090             0  
301             1410             0             1090             0  
302             1410             0             1090             0  
303             1410             0             1090             0  
304             1410             0             1090             0  
305             1410             0             1090             0  
306             1410             0             1090             0  
307             1410             0             1090             0  
308             1410             0             1090             0  
309             1410             0             1090             0  
310             1410             0             1090             0  
311             1410             0             1090             0  
312             1410             0             1090             0  
313             1410             0             1090             0  
314             1410             0             1090             0  
315             1410             0             1090             0  
316             1410             0             1090             0  
317             1410             0             1090             0  
318             1410             0             1090             0  
319             1410             0             1090             0  
320             1410             0             1090             0  
321             1410             0             1090             0  
322             1410             0             1090             0  
323             1410             0             1090             0  
324             1410             0             1090             0  
325             1410             0             1090             0  
326             1410             0             1090             0  
327             1410             0             1090             0  
328             1410             0             1090             0  
329             1410             0             1090             0  
330             1410             0             1090             0  
331             1410             0             1090             0  
332             1410             0             1090             0  
333             1410             0             1090             0  
334             1410             0             1090             0  
335             1410             0             1090             0  
336             1410             0             1090             0  
337             1410             0             1090             0  
338             1410             0             1090             0  
339             1410             0             1090             0  
340             1410             0             1090             0  
341             1410             0             1090             0  
342             1410             0             1090             0  
343             1410             0             1090             0  
344             1410             0             1090             0  
345             1410             0             1090             0  
346             1410             0             1090             0  
347             1410             0             1090             0  
348             1410             0             1090             0  
349             1410             0             1090             0  
350             1410             0             1090             0  
351             1410             0             1090             0  
352             1410             0             1090             0  
353             1410             0             1090             0  
354             1410             0             1090             0  
355             1410             0             1090             0  
356             1410             0             1090             0  
357             1410             0             1090             0  
358             1410             0             1090             0  
359             1410             0             1090             0  
360             1410             0             1090             0  
361             1405             5             1090             0  
362             1400             10             1090             0  
363             1382             26             1092             0  
364             1361             46             1093             0  
365             1345             61             1094             0  
366             1313             89             1098             0  
367             1284             114             1101             1  
368             1247             144             1108             1  
369             1210             179             1110             1  
370             1164             223             1112             1  
371             1128             258             1113             1  
372             1077             302             1118             3  
373             1020             356             1121             3  
374             971             403             1123             3  
375             925             447             1125             3  
376             865             503             1129             3  
377             805             558             1134             3  
378             762             599             1136             3  
379             703             653             1141             3  
380             661             694             1142             3  
381             612             738             1147             3  
382             558             790             1149             3  
383             510             837             1150             3  
384             468             877             1152             3  
385             425             918             1154             3  
386             398             941             1158             3  
387             360             975             1161             4  
388             328             1006             1162             4  
389             294             1034             1168             4  
390             271             1053             1172             4  
391             238             1081             1177             4  
392             214             1105             1177             4  
393             192             1127             1177             4  
394             170             1148             1178             4  
395             151             1166             1179             4  
396             134             1183             1179             4  
397             114             1203             1179             4  
398             100             1216             1180             4  
399             90             1222             1184             4  
400             80             1231             1185             4  
401             63             1246             1187             4  
402             56             1252             1188             4  
403             52             1255             1189             4  
404             48             1258             1190             4  
405             44             1262             1190             4  
406             44             1262             1190             4  
407             49             1256             1191             4  
408             52             1253             1191             4  
409             59             1246             1191             4  
410             61             1243             1192             4  
411             68             1236             1192             4  
412             78             1226             1192             4  
413             90             1214             1192             4  
414             99             1205             1192             4  
